hnum,col_name,db_name,table_name,tag,description,unit,data_type
H2508,vdr_aivdo_lat,mg,h2508_vdr_aivdo1_pivot,latitude,latitude,deg,FLOAT
H2508,vdr_aivdo_lon,mg,h2508_vdr_aivdo1_pivot,longitude,longitude,deg,FLOAT
H2508,vdr_aivdo_sog,mg,h2508_vdr_aivdo1_pivot,speed_over_ground,speed_over_ground,kn,FLOAT
H2508,vdr_aivdo_cog,mg,h2508_vdr_aivdo1_pivot,course_over_ground,course_over_ground,deg,FLOAT
H2508,vdr_lon_water_speed,mg,h2508_vdr_vdvbw_pivot,long_waterspeed,longitudinal_water_speed,kn,FLOAT
H2508,vdr_trav_water_speed,mg,h2508_vdr_vdvbw_pivot,trav_waterspeed,traverse_water_speed,kn,FLOAT
H2508,vdr_relative_wind_speed,mg,h2508_vdr_yxmwv_pivot,wind_speed,wind_speed,kn,FLOAT
H2508,vdr_relative_wind_angle,mg,h2508_vdr_yxmwv_pivot,wind_angle,wind_angle,deg,FLOAT
H2508,ship_heading,mg,h2508_vdr_aivdo1_pivot,true_heading,true_heading,deg,FLOAT
H2508,ship_fwd_draft,mg,h2508_ias_ias_pivot,rg009c_meas1,FWD DRAFT  ,m,FLOAT
H2508,ship_aft_draft,mg,h2508_ias_ias_pivot,rg012c_meas1,AFT DRAFT  ,m,FLOAT
H2508,ship_mid_stbd_draft,mg,h2508_ias_ias_pivot,rg010c_meas1,MID DRAFT PORT  ,m,FLOAT
H2508,ship_mid_port_draft,mg,h2508_ias_ias_pivot,rg011c_meas1,MID DRAFT STBD  ,m,FLOAT
H2508,ship_trim,mg,h2508_ias_ias_pivot,rg020_meas1,SHIP'S TRIM  ,m,FLOAT
H2508,ship_list,mg,h2508_ias_ias_pivot,rg021_meas1,SHIP'S LIST  ,deg,FLOAT
H2508,ship_rudder_port_angle,mg,h2508_ias_ias_pivot,sp028_meas1,RUDDER ANGLE STBD ,deg,FLOAT
H2508,ship_rudder_stbd_angle,mg,h2508_ias_ias_pivot,sp029_meas1,RUDDER ANGLE PORT ,deg,FLOAT
